P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,A_PRICE,P_YEAR_MONTH,ADD_COL,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,M_GU_NAME
319572,199,서울중앙시장,305,"사과(부사, 300g)",1개,2500,Jul-12,국내산,1,전통시장,140000,중구
319573,199,서울중앙시장,306,"배(신고, 600g)",1개,3000,Jul-12,국내산,1,전통시장,140000,중구
319574,199,서울중앙시장,307,배추(2.5~3kg),1포기,5000,Jul-12,국내산,1,전통시장,140000,중구
319575,199,서울중앙시장,308,무(1kg),1개,1500,Jul-12,국내산,1,전통시장,140000,중구
319576,199,서울중앙시장,309,양파(1.5kg망),1망,2000,Jul-12,국내산,1,전통시장,140000,중구
319577,199,서울중앙시장,23,상추,100g,1200,Jul-12,국내산,1,전통시장,140000,중구
319578,199,서울중앙시장,311,오이(다다기),1개,1000,Jul-12,국내산,1,전통시장,140000,중구
319579,199,서울중앙시장,119,호박(인큐베이터),1개,1000,Jul-12,국내산,1,전통시장,140000,중구
319580,199,서울중앙시장,58,"쇠고기(한우,불고기)",600g,22000,Jul-12,,1,전통시장,140000,중구
319581,199,서울중앙시장,202,돼지고기(생삼겹살),600g,14500,Jul-12,국내산,1,전통시장,140000,중구
319582,199,서울중앙시장,283,닭고기(육계),1마리,5500,Jul-12,국내산,1,전통시장,140000,중구
319583,199,서울중앙시장,181,달걀(왕란),10개,1850,Jul-12,국내산,1,전통시장,140000,중구
319584,199,서울중앙시장,144,"조기(국산,냉동)",1마리,1800,Jul-12,,1,전통시장,140000,중구
319585,199,서울중앙시장,152,"명태(러시아,냉동)",1마리,5000,Jul-12,,1,전통시장,140000,중구
319586,199,서울중앙시장,256,"오징어(냉동,국산)",1마리,3000,Jul-12,,1,전통시장,140000,중구
319587,199,서울중앙시장,268,"고등어(냉동,국산)",1마리,5000,Jul-12,,1,전통시장,140000,중구
319748,60,이마트 청계점,305,"사과(부사, 300g)",1개,3000,Jul-12,국내산,2,대형마트,140000,중구
319749,60,이마트 청계점,306,"배(신고, 600g)",1개,2700,Jul-12,국내산,2,대형마트,140000,중구
319750,60,이마트 청계점,307,배추(2.5~3kg),1포기,2380,Jul-12,국내산,2,대형마트,140000,중구
319751,60,이마트 청계점,308,무(1kg),1개,1580,Jul-12,국내산,2,대형마트,140000,중구
319752,60,이마트 청계점,309,양파(1.5kg망),1망,2180,Jul-12,국내산,2,대형마트,140000,중구
319753,60,이마트 청계점,310,상추(100g),100g,800,Jul-12,국내산,2,대형마트,140000,중구
319754,60,이마트 청계점,311,오이(다다기),1개,390,Jul-12,국내산,2,대형마트,140000,중구
319755,60,이마트 청계점,119,호박(인큐베이터),1개,880,Jul-12,국내산,2,대형마트,140000,중구
319756,60,이마트 청계점,58,"쇠고기(한우,불고기)",600g,20400,Jul-12,부경축산,2,대형마트,140000,중구
319757,60,이마트 청계점,202,돼지고기(생삼겹살),600g,11100,Jul-12,도드람,2,대형마트,140000,중구
319758,60,이마트 청계점,283,닭고기(육계),1마리,7800,Jul-12,"자연실록, 볶음용",2,대형마트,140000,중구
319759,60,이마트 청계점,134,달걀(왕란),10개,4300,Jul-12,"풀무원, 목초란",2,대형마트,140000,중구
319760,60,이마트 청계점,144,"조기(국산,냉동)","1마리, 20cm",1280,Jul-12,,2,대형마트,140000,중구
319761,60,이마트 청계점,152,"명태(러시아,냉동)","1마리, 45cm",0,Jul-12,없음,2,대형마트,140000,중구
319762,60,이마트 청계점,254,"오징어(생물,국산)","1마리, 25cm",1980,Jul-12,,2,대형마트,140000,중구
319763,60,이마트 청계점,266,"고등어(생물,국산)","1마리, 30cm",3980,Jul-12,,2,대형마트,140000,중구
321251,136,세이브 마트,305,"사과(부사, 300g)",1개,3980,Jul-12,냉동부사(대),2,대형마트,620000,관악구
321252,136,세이브 마트,306,"배(신고, 600g)",1개,2990,Jul-12,"신고배(중)2개5,980원",2,대형마트,620000,관악구
321253,136,세이브 마트,307,배추(2.5~3kg),1포기,1993,Jul-12,"햇배추1망5,980원(행사가)",2,대형마트,620000,관악구
321254,136,세이브 마트,308,무(1kg),1개,1500,Jul-12,햇무우 ,2,대형마트,620000,관악구
321255,136,세이브 마트,309,양파(1.5kg망),1망,2300,Jul-12,국산(중망)햇양파,2,대형마트,620000,관악구
321256,136,세이브 마트,310,상추(100g),100g,800,Jul-12,국산,2,대형마트,620000,관악구
321257,136,세이브 마트,311,오이(다다기),1개,660,Jul-12,"국산5개1,980원",2,대형마트,620000,관악구
321258,136,세이브 마트,312,애호박,1개,1500,Jul-12,바이오애호박,2,대형마트,620000,관악구
321259,136,세이브 마트,58,"쇠고기(한우,불고기)",600g(1등급),19680,Jul-12,"나주농협600g3,280원",2,대형마트,620000,관악구
321260,136,세이브 마트,99,돼지고기(생삼겹살),600g,14300,Jul-12,해남땅끝포크  ,2,대형마트,620000,관악구
321261,136,세이브 마트,283,닭고기(육계),1마리(1.2kg),7500,Jul-12,하림자연실록,2,대형마트,620000,관악구
321262,136,세이브 마트,17,달걀,10개,2600,Jul-12,참한위생란,2,대형마트,620000,관악구
321263,136,세이브 마트,136,"조기(국산,생물)",1마리,1000,Jul-12,"참조기10마리10,000원",2,대형마트,620000,관악구
321264,136,세이브 마트,152,"명태(러시아,냉동)",1마리,3000,Jul-12,러시아산,2,대형마트,620000,관악구
321265,136,세이브 마트,254,"오징어(생물,국산)",1마리,2250,Jul-12,"국산2마리4,500원",2,대형마트,620000,관악구
321266,136,세이브 마트,266,"고등어(생물,국산)",1마리,5000,Jul-12,국산(대),2,대형마트,620000,관악구
321555,98,롯데백화점 노원점,305,"사과(부사, 300g)",1개(350g),4950,Jul-12,19800/4,2,대형마트,350000,노원구
321556,98,롯데백화점 노원점,306,"배(신고, 600g)",1개(880g),6000,Jul-12,2개12000원,2,대형마트,350000,노원구
321557,98,롯데백화점 노원점,307,배추(2.5~3kg),1포기(1960g),0,Jul-12,,2,대형마트,350000,노원구
321558,98,롯데백화점 노원점,308,무(1kg),1개,1980,Jul-12,제주무반토막,2,대형마트,350000,노원구
321559,98,롯데백화점 노원점,309,양파(1.5kg망),1망(1kg),2500,Jul-12,,2,대형마트,350000,노원구
321560,98,롯데백화점 노원점,23,상추, (130g),1800,Jul-12,,2,대형마트,350000,노원구
321561,98,롯데백화점 노원점,311,오이(다다기),1개,640,Jul-12,2개1280원,2,대형마트,350000,노원구
321562,98,롯데백화점 노원점,312,애호박,1개,1280,Jul-12,초로미,2,대형마트,350000,노원구
321563,98,롯데백화점 노원점,58,"쇠고기(한우,불고기)",600g,33000,Jul-12,안심으뜸선한우1등급 쿠폰사용시 13200원,2,대형마트,350000,노원구
321564,98,롯데백화점 노원점,99,돼지고기(생삼겹살),600g,19800,Jul-12,,2,대형마트,350000,노원구
321565,98,롯데백화점 노원점,283,닭고기(육계),1마리(1kg),9100,Jul-12,,2,대형마트,350000,노원구
321566,98,롯데백화점 노원점,134,달걀(왕란),10개,2850,Jul-12,목초,2,대형마트,350000,노원구
321567,98,롯데백화점 노원점,136,"조기(국산,생물)",1마리(20cm),2000,Jul-12,참조기 10000/5,2,대형마트,350000,노원구
321568,98,롯데백화점 노원점,265,"명태(생물,수입산)",1마리,0,Jul-12,0,2,대형마트,350000,노원구
321569,98,롯데백화점 노원점,254,"오징어(생물,국산)",1마리(25cm),3250,Jul-12,2마리6500,2,대형마트,350000,노원구
321570,98,롯데백화점 노원점,266,"고등어(생물,국산)",1마리(30cm),6500,Jul-12,,2,대형마트,350000,노원구
321587,86,홈플러스 동대문점,279,사과(중품),1개(200g),3200,Jul-12,안동 4개 12800원,2,대형마트,230000,동대문구
321588,86,홈플러스 동대문점,306,"배(신고, 600g)",1개,4266,Jul-12,신고  3개 12800원,2,대형마트,230000,동대문구
321589,86,홈플러스 동대문점,307,배추(2.5~3kg),1포기,1990,Jul-12,국내산 행사,2,대형마트,230000,동대문구
321590,86,홈플러스 동대문점,308,무(1kg),1개,1660,Jul-12,제주 행사,2,대형마트,230000,동대문구
321591,86,홈플러스 동대문점,24,양파,1망(1.6kg),2040,Jul-12,국내산 ,2,대형마트,230000,동대문구
321592,86,홈플러스 동대문점,310,상추(100g),100g,759,Jul-12,국내산,2,대형마트,230000,동대문구
321593,86,홈플러스 동대문점,311,오이(다다기),1개,380,Jul-12,국내산 ,2,대형마트,230000,동대문구
321594,86,홈플러스 동대문점,312,애호박,1개,610,Jul-12,자연중심애호박 ,2,대형마트,230000,동대문구
321595,86,홈플러스 동대문점,58,"쇠고기(한우,불고기)",600g,21480,Jul-12,으뜸선한우 ,2,대형마트,230000,동대문구
321596,86,홈플러스 동대문점,202,돼지고기(생삼겹살),600g,19080,Jul-12,제주축협 ,2,대형마트,230000,동대문구
321597,86,홈플러스 동대문점,283,닭고기(육계),1마리1050g),8980,Jul-12,국산 하림 토종닭 행사,2,대형마트,230000,동대문구
321598,86,홈플러스 동대문점,134,달걀(왕란),10개,3870,Jul-12,풀무원,2,대형마트,230000,동대문구
321599,86,홈플러스 동대문점,136,"조기(국산,생물)",1마리(20cm),4980,Jul-12,백조기,2,대형마트,230000,동대문구
321600,86,홈플러스 동대문점,264,"명태(냉동,수입산)",1마리(40cm),1780,Jul-12,러시아 동태,2,대형마트,230000,동대문구
321601,86,홈플러스 동대문점,254,"오징어(생물,국산)",1마리(20cm),2480,Jul-12,국산 생물,2,대형마트,230000,동대문구
321602,86,홈플러스 동대문점,266,"고등어(생물,국산)",1마리(30cm),5980,Jul-12,생물 대,2,대형마트,230000,동대문구
321603,72,금남시장,305,"사과(부사, 300g)",1개,3000,Jul-12,2개 6000,1,전통시장,200000,성동구
321604,72,금남시장,306,"배(신고, 600g)",1개,0,Jul-12,미입고,1,전통시장,200000,성동구
321605,72,금남시장,25,무,1개(1.5kg),1300,Jul-12,2kg,1,전통시장,200000,성동구
321606,72,금남시장,307,배추(2.5~3kg),1개,2000,Jul-12,2kg 이상3개 6000,1,전통시장,200000,성동구
321607,72,금남시장,310,상추(100g),100g,650,Jul-12,,1,전통시장,200000,성동구
321608,72,금남시장,24,양파,1망(1.5kg),2000,Jul-12,,1,전통시장,200000,성동구
