Rank	Country	Male	Female	Total	Year
1	 Lithuania	61.3	10.4	34.1	2009
2	 South Korea 	41.4	21.0	31.2	2010
3	 Guyana	39.0	13.4	26.4	2006
4	 Kazakhstan	43.0	9.4	25.6	2008
5	 Belarus			25.3	2010
6	 Hungary	40.0	10.6	24.6	2009
7	 Japan 	33.5	14.6	23.8	2011
8	 Latvia	40.0	8.2	22.9	2009
9	 People's Republic of China			22.23	2010
10	 Slovenia	34.6	9.4	21.9	2009
11	 Sri Lanka			21.6	1996
12	 Russia			21.4	2011
13	 Ukraine	37.8	7.0	21.2	2009
14	 Serbia and Montenegro	28.4	11.1	19.5	2006
15	 Estonia	20.6	7.3	18.1	2008
16	 Switzerland	24.8	11.4	18.0	2007
17	 Croatia	28.9	7.5	17.8	2009
18	 Belgium	26.5	9.3	17.6	2009
19	 Finland	27.2	8.6	17.6	2010
20	 Moldova	30.1	5.6	17.4	2008
21	 France	26.4	7.2	16.2	2008
22	 Uruguay	26.0	6.3	15.8	2004
23	 South Africa	25.3	5.6	15.4	2005
24	 Austria	23.8	7.1	15.2	2009
25	 Poland	26.4	4.1	14.9	2008
26	 Hong Kong	19.0	10.7	14.6	2009
27	 Suriname	23.9	4.8	14.4	2005
28	 Czech Republic	23.9	4.4	14.0	2009
29	 New Zealand	20.3	6.5	13.2	2008
30	 Sweden	18.7	6.8	12.7	2008
31	 Cuba	19.0	5.5	12.3	2008
32	 Bulgaria	18.8	6.2	12.3	2008
33	 Romania	21.0	3.5	12.0	2009
34	 Norway	17.3	6.5	11.9	2009
35	 Denmark	17.5	6.4	11.9	2006
36	 Ireland	19.0	4.7	11.8	2009
37	 Bosnia and Herzegovina	20.3	3.3	11.8	1991
38	 Canada	17.3	5.4	11.3	2004
39	 Iceland	17.9	4.5	11.3	2009
40	 Chile	18.2	4.2	11.1	2007
41	 United States 	19.0	4.9	11.8	2008
42	 Trinidad and Tobago	17.9	3.8	10.7	2006
43	 India 	13.0	7.8	10.5	2009
44	 Singapore	12.9	7.7	10.3	2006
45	 Slovakia	19.8	1.9	10.3	2009
46	 Australia	14.9	4.5	9.7	2009
47	 Germany	15.1	4.4	9.5	2009
48	 Kyrgyzstan	14.1	3.6	8.8	2009
49	 Turkmenistan	13.8	3.5	8.6	1998
50	 Netherlands 	12.0	5.0	8.5	2009
51	 Republic of Macedonia	12.6	3.9	8.0	2009
52	 El Salvador	12.9	3.6	8.0	2008
53	 Portugal	13.2	3.4	7.9	2008
54	 Zimbabwe	10.6	5.2	7.9	1990
55	 Luxembourg	13.2	2.9	7.8	2008
56	 Thailand	12.0	3.8	7.8	2002
57	 Argentina	12.6	3.0	7.7	2008
58	 Spain	11.9	3.4	7.6	2008
59	 Puerto Rico	13.2	2.0	7.4	2005
60	 Ecuador	10.5	3.6	7.1	2009
61	 United Kingdom	10.9	3.0	6.9	2009
62	 Mauritius	11.8	1.9	6.8	2008
63	 Iran	7.6	5.1	6.4	2001
64	 Italy	10.0	2.8	6.3	2007
65	 Costa Rica	10.2	1.9	6.1	2009
66	 Israel	9.9	2.1	5.8	2007
67	 Nicaragua	9.0	2.6	5.8	2006
68	 Panama	9.0	1.9	5.5	2008
69	 Colombia	7.9	2.0	4.9	2007
70	 Brazil	7.7	2.0	4.8	2008
71	 Uzbekistan	7.0	2.3	4.7	2005
72	 Seychelles	8.9	0.0	4.6	2008
73	 Georgia	7.1	1.7	4.3	2009
74	 Albania	4.7	3.3	4.0	2003
75	 Mexico	6.8	1.3	4.0	2008
76	 Turkey	5.36	2.50	3.94	2008
77	 Bahrain	4.0	3.5	3.8	2006
78	 Belize	6.6	0.7	3.7	2008
79	 Saint Vincent and the Grenadines	5.4	1.9	3.7	2008
80	 Paraguay	5.1	2.0	3.6	2008
81	 Cyprus	5.9	1.3	3.6	2009
82	 Guatemala	5.6	1.7	3.6	2008
83	 Barbados	7.3	0.0	3.5	2006
84	 Greece	6.1	1.0	3.5	2009
85	 Malta	5.9	1.0	3.4	2008
86	 Venezuela	5.3	1.2	3.2	2007
87	 Tajikistan	2.9	2.3	2.6	2001
88	 Saint Lucia	4.9	0.0	2.4	2005
89	 Dominican Republic	3.9	0.7	2.3	2005
90	 Philippines	2.5	1.7	2.1	1993
91	 Pakistan 			2.0	2008
92	 Armenia	2.8	1.1	1.9	2008
93	 Kuwait	1.9	1.7	1.8	2009
94	 The Bahamas	1.9	0.6	1.2	2005
95	 Jordan	0.0	0.0	1.1	2009
96	 Peru	1.1	0.6	0.9	2000
97	 Sao Tome and Principe	0.0	1.8	0.9	1987
98	 Azerbaijan	1.0	0.3	0.6	2007
99	 Maldives	0.7	0.0	0.3	2005
100	 Jamaica	0.3	0.0	0.1	1990
101	 Syria	0.2	0.0	0.1	1985
102	 Egypt	0.1	0.0	0.1	2009
103	 Grenada	0.0	0.0	0.0	2008
104	 Honduras	0.0	0.0	0.0	1978
105	 Saint Kitts and Nevis	0.0	0.0	0.0	1995
106	 Antigua and Barbuda	0.0	0.0	0.0	1995
107	 Haiti	0.0	0.0	0.0	2003
